0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
4,0,0,0,0,0,2,2,0,2,13,0,0,0,0,1
0,0,0,0,0,0,0,0,0,2,13,0,0,0,0,1
3,0,0,0,0,0,0,3,1,2,13,0,0,0,0,1
4,0,1,0,0,0,1,3,1,2,13,0,0,0,0,1
4,0,1,0,0,0,1,3,1,2,13,0,0,0,0,1
4,0,1,0,0,0,1,3,1,2,13,0,0,0,0,1
4,0,1,0,0,0,1,3,1,2,13,0,0,0,0,1
3,0,0,0,0,0,2,1,0,2,13,0,0,0,0,1
3,0,0,0,0,0,2,1,0,2,13,0,0,0,0,1
3,0,0,0,0,0,2,1,0,2,13,0,0,0,0,1
3,0,0,0,0,0,2,1,0,2,13,0,0,0,0,1
5,0,0,0,0,0,3,2,0,2,13,0,0,0,0,1
5,0,0,1,0,0,2,3,0,2,13,0,0,0,0,1
1,0,0,0,0,0,0,1,1,11,9,0,0,3,0,1
3,0,2,0,0,0,2,1,0,11,9,1,1,3,0,1
2,0,1,0,0,0,2,0,0,11,9,1,0,3,0,1
1,0,0,0,0,0,1,0,0,11,9,1,0,3,0,1
3,0,0,0,0,0,1,2,0,11,9,0,0,3,0,1
1,0,0,0,0,0,1,0,0,11,9,0,0,3,1,1
1,0,0,0,0,0,1,0,0,11,9,0,0,3,0,1
4,0,0,0,0,0,1,3,0,11,9,0,0,3,1,1
5,0,1,1,0,2,2,3,0,13,22,0,1,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
1,0,0,0,0,0,1,0,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
1,0,0,0,0,0,1,0,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
1,0,0,0,0,0,1,0,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
1,0,0,0,0,0,1,0,0,13,22,0,0,3,0,1
2,0,0,0,0,0,0,2,0,13,22,0,0,3,0,1
2,0,1,0,0,0,2,0,0,13,22,1,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
4,1,0,0,0,0,0,4,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,1,13,22,0,0,3,0,1
2,0,0,0,0,0,0,2,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,0,13,22,0,0,3,0,1
4,1,0,0,0,0,0,4,0,13,22,0,0,3,0,1
1,0,0,0,0,0,0,1,1,13,22,0,0,3,0,1
2,0,0,0,0,0,0,2,1,13,22,0,0,3,0,1
1,0,0,0,0,0,1,0,0,13,22,0,0,3,1,1
4,0,0,0,0,0,1,3,0,13,22,0,0,3,1,1
1,0,0,0,0,0,0,1,0,10,4,0,0,3,0,1
1,0,0,0,0,0,1,0,0,10,4,1,0,3,1,1
1,0,0,0,0,0,1,0,0,10,4,0,0,3,1,1
2,0,0,0,0,0,1,1,0,10,4,0,0,3,1,1
1,0,0,0,0,0,1,0,0,9,9,0,0,1,1,1
2,0,1,0,0,0,2,0,0,9,9,1,0,1,0,1
